Word	occurrences
6각형	2
6겹의	2
6의	2
6중창	2
6행시	2
7인조	2
800년제	2
8배의	2
8운각의	2
가	3
가 있는	2
가격	2
가격 인상	2
가계	2
가곡	2
가공	3
가공하다	3
가구	2
가구류	2
가구상	2
가까이	2
가내 공업	2
가내공업	2
가냘프게	2
가늘어지다	2
가늠	2
가동	2
가라앉힐 수 있는	2
가래	2
가루 모양의	2
가루를 내는	2
가루약	2
가루투성이의	2
가르치기 쉬운	2
가르치는 사람	2
가를 두르다	2
가리는 것	2
가리다	6
가마	2
가망 없는	2
가망없는	2
가망없음	2
가면을 쓴	2
가발을 쓴	2
가벼운 병	2
가벼운 스카프	2
가벼운 식사	2
가벼운 투구	2
가변성	2
가봉	2
가산	2
가상	2
가설	2
가성의	2
가세	2
가속	2
가수	2
가슴받이	2
가슴아픈	2
가습기	2
가시금작화	2
가시다	2
가식	2
가용	2
가용성	2
가위로 자르다	2
가자미	2
가장	3
가장 가까운	2
가장 좋은	2
가장복	2
가장자리 장식	2
가장정치	2
가장하다	2
가재	2
가재살	2
가정	3
가정 교사	2
가정 채소밭	2
가정의	2
가정의 수호신	2
가정적이 아닌	2
가죽 채찍	2
가죽제품	2
가증한	2
가지다	2
가짜돈	2
가차 없는	2
가채용	2
가청거리	2
가축우리	2
가파름	2
가혹하게	2
각각	2
각반	2
각부간의	2
각뿔대	2
각색	2
각색자	2
각색하다	2
각설탕	2
각암	2
각운	2
각인	2
각자	2
각주	2
간	3
간결하게 하다	2
간구	2
간단	2
간담	2
간명한	2
간사	2
간사하게	2
간상의	2
간작	2
간장	2
간접적인 것	2
간주	2
간지	2
간지럽다	2
간추리다	2
갈고랑쇠	2
갈리다	4
갈아타기	2
갈탄	2
갈피	2
감	3
감각론자	2
감각을 잃은	2
감각이 없는	2
감광시키다	2
감귤류의	2
감기	2
감기게 하다	2
감기다	3
감당할 수 없는	2
감독	2
감마선	2
감명	2
감미롭게 하다	2
감방	2
감사	3
감사의 말	2
감상	2
감소하는	2
감속도	2
감수	3
감수하다	2
감압하다	2
감정	3
감정을 나타내는	2
감정을 상하게 하다	2
감정의 폭발	2
감정인	2
감찰관	2
감청	2
감청색	2
감초	2
감치다	2
감칠맛 있는	2
감칠맛이 있는	2
감침질	2
감퇴	2
감퇴하다	2
감투상	2
감홍	2
갑	3
갑갑하다	2
갑부기질	2
값싼 술	2
값쌈	2
값을 깎다	2
값을 매기다	2
값을 올리다	2
강	4
강가에 있는	2
강구	2
강도	2
강력하게	2
강매하다	2
강변	2
강삭 철도	2
강성	2
강속구	2
강습	2
강습하다	2
강습회	2
강신술	2
강심성의	2
강아지임	2
강연자	2
강연하다	2
강요	2
강요할 수 있는	2
강의	2
강장	2
강제노동수용소	2
강제적으로	2
강제적인	2
강제할 수 있는	2
강직하다	2
강직한	2
강치	2
강탈자	2
강판	2
강화	3
갖다	2
같지 않은	2
갚음	2
개	3
개가	2
개관	2
개괄	2
개괄적인	2
개교	2
개구리 헤엄	2
개그작가	2
개념 예술	2
개념의	2
개념적인	2
개다	2
개량	2
개막사	2
개명	2
개미귀신	2
개미집	2
개발 원조 위원회	2
개방성	2
개별적인	2
개별화	2
개불알꽃	2
개불알꽃속의 식물	2
개사	2
개산	2
개설	2
개수	2
개업의	2
개업하다	2
개인용 열람석	2
개인전	2
개전	2
개정	2
개조	2
개조할 수 있는	2
개종	2
개주	2
개진	2
개찰구	2
개척	2
개체	2
개펄	2
개폐	3
개혁의	2
개화	3
개화기	2
객관성	3
객관적인	2
객관화	2
객관화하다	2
갠	2
갤럽	2
갯나리	2
걔	2
거	2
거기에서	2
거꾸로된	2
거두어 들이다	4
거류지	2
거르다	2
거리	4
거멀못	2
거부	2
거사	3
거세	2
거세다	2
거세하다	2
거시	2
거시기	3
거시적	2
거위	2
거인증	2
거적	2
거짓 꾸밈	2
거짓 없는	2
거짓말 탐지기	2
거짓말을 하다	2
거짓말의	2
거짓말하다	2
거참	2
거푸집	2
거품 모양의	2
거해궁	2
거행하다	2
건	4
건강 보험	2
건강상태	2
건강에 해로운	2
건강을 해친	2
건강함	2
건널목지기	2
건네다	2
건류	2
건목치기	2
건설자	2
건조	2
건초기	2
건평	2
건포도	2
건포도가 든 케이크	2
걸러내다	2
걸리게 하다	2
걸맞는	2
걸어서 가다	2
걸어서 건너다	2
걸음이 빠른	2
걸쭉하다	2
걸치어	2
걸터타다	2
검게 하다	3
검뇨	2
검당계	2
검량관	2
검류기	2
검문소	2
검사	2
검색	2
검안사	2
검약하다	2
검약한	2
검역관	2
검영기	2
검음	2
검전기	2
검정	2
겁나게하다	2
겁내는	2
겁내지 않은	2
겁에 질린	2
겉껍질	2
겉꾸미는	2
겉장	2
겉치장	2
겉포장	2
게으름 부리다	2
게으름 피우다	2
게일족의	2
게자리	2
겨	2
겨누다	2
겨드랑이	2
겨드랑이의	2
격	3
격노하게하다	2
격노하여	2
격돌하다	2
격랑	2
격렬	2
격렬히	3
격발하다	2
격세유전	2
격식대로	2
격심하게	2
격앙시키다	2
격월의	2
격찬하다	3
격투자	2
격하여	2
격해지다	2
견딜 수 있는	2
견모 교직물의 일종	2
견사	2
견습생	2
견습중의	2
견식	2
견인	2
결과로서 따르는	2
결과로서 생기는	2
결단	2
결딴난	2
결벽	2
결빙기	2
결사	2
결상	2
결승의	2
결연	3
결연하다	2
결의	3
결이 거친	2
결장	2
결장의	2
결정	2
결정상의	2
결정자	2
결정적이 아닌	2
결정체	2
결정타	2
결합력이 있는	2
결합자	2
결혼 상담소	2
결혼 전의	2
결혼 중매인	2
결혼 증명서	2
결혼 축가	2
겸	3
겸자	2
겹들보	2
겹세로줄	2
경	2
경각	2
경감	2
경건파 교도	2
경건하게	2
경계	3
경고의	2
경과	3
경관	2
경기	3
경내	2
경도	3
경락	2
경로	2
경리	2
경마 신문	2
경마팬	2
경보	2
경부	2
경비	2
경비원	2
경비행기	2
경상	3
경색	2
경식당	2
경신	2
경악	2
경야	2
경영자측	2
경외하다	2
경위	5
경유	2
경의를 표하는	2
경의를 표하다	2
경쟁의	2
경제 기획원	2
경제 지표	2
경제권	2
경주	3
경주로	2
경주용 요트	2
경주장	2
경지	2
경직	2
경질	2
경찰국장	2
경첩 관절	2
경청하다	2
경축	2
경축일	2
경칭	2
경타	2
경험의	2
경화	2
경황	2
계	6
계급 투쟁	2
계기	2
계기착륙	2
계류	2
계명 창법	2
계사	2
계산대	3
계산상의	2
계산서	2
계산하는 사람	2
계상	2
계수	3
계승	2
계시기	2
계시다	2
계약한	2
계원	2
계율	3
계장	2
계절풍	2
고	3
고가 철도	2
고개	2
고고	3
고관절	2
고광나무	2
고귀	2
고귀한	2
고기 만두	2
고기 써는 기계	2
고기 완자	2
고기 파이	2
고깃국	2
고대	3
고도	3
고동	2
고동치는	2
고된 일	2
고등법원	2
고등의	2
고래 수염	2
고래류의	2
고량	2
고려	2
고르다	2
고르지 않은	2
고름	2
고름이 나는	2
고릴라	2
고매	2
고명	2
고무	2
고무자	2
고물	3
고민의	2
고백	2
고백자	2
고백하다	3
고비	2
고삐를 매다	2
고사	8
고산병	2
고생	2
고생을 맛본사람	2
고생하는 사람	2
고생하여	2
고소하다	3
고속 도로	2
고속 어뢰정	2
고속 증식로	2
고속도	2
고수	4
고승	2
고시	3
고실	2
고심	2
고아	3
고아원	2
고압의	2
고양	2
고양이과의	2
고양이과의 동물	2
고역	2
고요의 바다	2
고용하다	2
고이다	2
고인	2
고저	2
고적	2
고전학자	2
고조	3
고지	3
고질	2
고집세게	2
고집셈	2
고창	2
고체	2
고쳐쓰기	2
고충실도	2
고칠수 없는	2
고통거리	2
고통을 느끼지 않는	2
고통을 주는	2
고함치는 사람	2
고해	3
고해 신부	2
곡류	2
곡류의	2
곡절	2
곡조	2
곡조가 아름다운	2
곡창	2
곡창 지대	2
곡초	2
곡해	3
곡해하는	2
곡해하다	2
곤궁	2
곤충학	2
곤혹	3
골	5
곪은	2
곯리다	2
곰곰 생각하다	2
곰곰히 생각하다	2
곰상스러운	2
곱돌	2
곱사등	2
곱사등의	2
곱슬곱슬함	2
곱자	2
공	2
공가	2
공갈	3
공고	3
공과	3
공구	2
공국	2
